prefix_length,Recall@10,Recall@20,Recall@50,Recall@100
1,0.289025221540559,0.38207225630538516,0.499431947284708,0.5771415587366507
5,0.31285503294705747,0.4214099068393547,0.5550159054760282,0.6412747102931152
10,0.3215557070362796,0.4396538665454821,0.5844126334923881,0.675774445201848
15,0.3158515110202227,0.43704555782776644,0.5904907975460123,0.6877556237218814
20,0.3002499431947285,0.420040899795501,0.577766416723472,0.6818336741649625
25,0.27679315307127167,0.39078239793986214,0.5465613875634325,0.6535919866696963
